component 1,component 2,component 3,class
9.424548,3.814115,6.3867884,GALAXY
1.9575185,-2.1670387,6.632463,GALAXY
2.9389493,3.0386577,4.9889317,QSO
6.419594,9.163689,-0.61908245,QSO
4.3775043,2.377724,4.792306,GALAXY
4.779356,11.674025,3.9571872,STAR
1.8490529,4.3403172,3.841141,GALAXY
6.670912,4.2201743,8.909373,STAR
11.9096775,4.898616,1.2801805,GALAXY
7.204243,1.0263593,4.9882703,QSO
3.7325351,-1.353692,3.5765991,GALAXY
4.274027,-3.1722722,2.5587003,GALAXY
-0.073838614,0.77635324,1.6268729,GALAXY
8.4182,9.46614,0.68197757,GALAXY
8.782,12.49204,8.612075,GALAXY
8.938442,1.3806405,7.122169,QSO
6.4756384,1.2028645,3.6166093,QSO
2.8098214,4.2162256,-2.4761252,GALAXY
2.8673131,7.7417,9.911088,STAR
4.8782945,2.7192912,3.7294679,GALAXY
5.607596,-1.1105708,1.5102649,GALAXY
8.772863,5.1924934,4.661826,GALAXY
6.0181394,2.252537,-0.53608775,GALAXY
-0.4011609,4.785885,1.8953047,GALAXY
4.412029,6.432452,5.292221,GALAXY
3.7729123,-0.32392862,9.57903,GALAXY
3.6932302,0.41840747,9.503928,GALAXY
2.0791805,6.030296,1.758026,GALAXY
4.9400945,8.296556,9.420675,QSO
5.0227027,13.083108,3.6553216,QSO
4.9527736,2.3751159,6.4235992,QSO
6.0247684,0.91904336,4.957775,QSO
5.06261,7.9981008,4.488272,GALAXY
6.7499924,0.91780114,3.8418295,GALAXY
5.263101,0.51228493,-0.8428708,GALAXY
9.060661,11.8387985,9.626835,GALAXY
5.832345,2.9204166,3.2095697,GALAXY
3.380569,5.720426,5.1616616,GALAXY
2.4401112,-2.835244,4.120707,GALAXY
10.159624,4.91877,4.785768,STAR
1.4537903,11.206288,7.9582067,STAR
3.6080916,7.0091033,9.317254,QSO
0.60549426,4.8297024,-1.5298502,STAR
10.887059,8.562604,6.101791,STAR
0.52680975,0.5180804,0.91590273,GALAXY
2.1563938,4.869053,1.9876261,QSO
4.654085,3.3099787,0.8313064,GALAXY
0.5931017,4.8581734,1.7003115,GALAXY
7.002982,12.214312,3.987674,QSO
1.4964004,4.4085865,1.858604,GALAXY
7.851512,13.036758,9.91531,GALAXY
7.283167,11.881929,4.3317614,GALAXY
4.999001,1.1182945,-0.80206287,GALAXY
4.8525553,2.6324258,10.204954,GALAXY
3.6712275,0.7074716,6.166125,STAR
8.178853,1.6390753,5.6570754,GALAXY
3.6699433,-0.18733466,4.331198,GALAXY
3.6169364,-0.055653594,6.252404,GALAXY
0.8289468,-0.31391558,5.6960516,GALAXY
6.846011,6.118814,8.35826,QSO
1.7654047,4.2785516,3.9611526,GALAXY
3.6675947,1.6935798,1.2902323,GALAXY
0.5458792,0.14776471,1.4825096,GALAXY
10.705269,9.936251,6.3131285,GALAXY
3.2349288,6.8552837,-3.0695834,GALAXY
5.5543604,1.0765209,4.528449,GALAXY
8.248788,5.1397405,4.872852,GALAXY
5.3339376,-0.7568352,1.0665967,GALAXY
2.8465455,5.76836,5.2495513,GALAXY
1.4527955,6.337609,0.7792929,GALAXY
7.1485653,11.998219,4.236712,GALAXY
5.4320793,7.44377,6.5817566,GALAXY
0.54375273,5.388437,1.5125009,GALAXY
9.864572,6.2251525,1.569773,STAR
3.9565816,-0.1277333,3.4854498,GALAXY
0.20492953,-0.089903735,2.8255932,GALAXY
2.673379,1.8079864,6.182758,GALAXY
6.3830657,1.9668535,7.057225,QSO
8.457665,12.850449,9.102817,GALAXY
3.6655133,10.704141,9.431126,QSO
5.332628,0.7644207,7.870432,GALAXY
2.7720115,1.9283671,9.928845,GALAXY
4.0055118,11.682958,8.056484,QSO
2.9888206,5.702052,6.9580555,QSO
8.225972,2.3981497,5.8750043,QSO
6.0261264,0.53668606,4.328405,QSO
10.986103,6.672813,-0.25570023,GALAXY
11.03985,9.143375,5.639597,GALAXY
4.1126866,6.7639327,11.335186,STAR
5.8162847,12.15305,3.819177,QSO
6.6166844,6.407404,10.740999,STAR
6.348715,8.89457,2.1065693,GALAXY
1.1577284,-2.0252767,6.952303,GALAXY
7.7033386,11.245777,3.9718604,QSO
4.114386,12.334743,7.3786464,QSO
6.1028466,3.0485582,8.231126,STAR
11.535246,4.5954227,1.2948294,GALAXY
8.271488,1.4078752,5.498862,QSO
3.7038517,2.8887577,11.502561,GALAXY
9.599374,11.251261,6.5606604,GALAXY
6.281319,6.353736,7.472072,GALAXY
1.7811376,-2.8324454,6.0498548,GALAXY
1.386041,-0.3825614,6.8459506,STAR
5.239874,7.5353174,8.716945,QSO
2.7499154,5.538602,1.2306653,GALAXY
6.7170424,3.0426388,10.558532,GALAXY
2.3587663,5.8124027,7.6955833,STAR
6.8063006,5.044743,6.686243,GALAXY
5.997067,1.8961484,5.997007,STAR
1.7964436,6.9348483,5.394587,GALAXY
7.14066,0.22706318,4.715398,GALAXY
11.965729,6.5097327,2.8755496,STAR
6.06218,7.775867,4.017511,GALAXY
3.2509446,-3.34488,5.409293,GALAXY
7.831962,2.9911904,10.183964,GALAXY
5.2142477,1.8932829,0.46821633,GALAXY
-0.08280304,0.8214788,5.0715637,STAR
0.36249053,5.167854,1.6857668,GALAXY
1.7008902,-2.9009926,2.4092696,GALAXY
9.048186,12.252959,9.012651,GALAXY
4.0784574,9.320284,9.133805,QSO
0.26072496,4.092655,2.7913663,GALAXY
4.4857306,2.3433447,10.256459,GALAXY
7.3160696,5.076697,7.5082145,QSO
3.7966335,4.535186,0.43830296,GALAXY
1.0089842,6.029243,-2.1563952,STAR
5.3935304,0.82742757,11.783477,STAR
8.308216,9.76091,6.0157166,GALAXY
7.794002,13.28594,8.410558,GALAXY
3.9975922,8.437572,9.775909,QSO
3.1907756,5.3554163,0.26630798,GALAXY
2.7883615,12.574535,4.6495953,STAR
8.851288,5.151877,5.2535586,GALAXY
8.484306,2.884078,7.439959,QSO
4.8436556,9.757084,6.140073,GALAXY
1.5625919,8.564572,8.24912,STAR
6.8377976,5.2504044,7.1658015,STAR
10.741415,9.787685,6.167896,GALAXY
3.615767,13.165329,6.705592,QSO
3.945594,0.041207865,7.0589514,GALAXY
3.8145578,3.9875872,0.42144746,GALAXY
3.589949,2.1373684,11.33616,STAR
0.68058044,6.3012314,-1.5440323,STAR
5.4312496,1.6665217,-0.72171867,GALAXY
4.5820065,3.2913046,2.7012076,QSO
1.9512553,4.7728467,6.0409718,GALAXY
5.4932575,-0.7873955,1.1459625,GALAXY
7.47057,13.155912,9.935397,GALAXY
5.7883773,-0.57774854,1.2731769,GALAXY
6.877589,4.540319,10.611594,GALAXY
1.6865431,2.322631,5.3277006,GALAXY
3.8905756,-1.0485312,5.3129454,GALAXY
1.3399572,-0.7443809,6.1721377,STAR
3.3034296,0.48221758,2.8849897,GALAXY
4.799711,-0.43326774,2.833034,GALAXY
3.8034344,6.8544426,1.262385,GALAXY
1.1453253,-2.2109697,6.70506,GALAXY
6.0337734,5.6668587,4.5261483,STAR
5.5376124,13.439148,9.246271,GALAXY
9.614256,8.459747,0.8702538,GALAXY
5.533413,7.3440776,4.4984355,GALAXY
7.182664,5.4308915,8.228673,QSO
6.885024,7.2342024,3.9848764,GALAXY
8.206219,12.812394,7.890785,GALAXY
7.4617333,7.3850813,2.5652611,GALAXY
2.8064241,0.50372034,9.946965,GALAXY
8.32642,5.800665,3.4569788,GALAXY
2.7306163,11.493348,8.834376,QSO
2.121687,-2.6671405,1.96454,GALAXY
12.232792,4.965849,2.2255764,GALAXY
3.677832,0.19654469,9.912587,GALAXY
7.2231197,11.243578,3.6407852,QSO
1.890641,7.4299974,3.913185,STAR
6.033885,11.703035,3.7056386,QSO
7.082132,7.717552,2.4125443,GALAXY
8.763045,5.7082567,4.0701475,GALAXY
8.278727,9.869292,0.90489835,GALAXY
8.19437,5.4196405,10.084631,GALAXY
7.4682717,4.1692224,8.559273,QSO
2.3395247,1.1035424,9.02583,STAR
2.9393187,5.6706386,5.423423,GALAXY
2.8410473,4.426458,-2.832791,GALAXY
3.4750297,3.8816557,4.246391,STAR
5.6994557,0.9080936,8.31984,GALAXY
4.217488,11.97771,7.4923596,QSO
1.5726879,10.670398,8.374453,STAR
5.1812367,-0.4897189,1.9371442,STAR
0.47530618,-0.48237148,3.79165,GALAXY
2.9161112,-1.8385586,7.1182165,GALAXY
2.0968795,9.034857,10.1212845,GALAXY
2.7604446,-2.0968835,4.372429,GALAXY
4.2376246,6.6721687,-2.5975032,GALAXY
8.360946,2.0378091,7.61616,QSO
4.4452333,2.3208988,0.64664596,STAR
2.3575113,-3.1013143,5.564489,GALAXY
2.7871664,7.229888,2.851777,STAR
4.1437993,5.7511144,5.3216443,GALAXY
4.001228,12.484051,5.9828315,QSO
0.7227439,5.244276,1.1042082,GALAXY
2.6488154,6.9488187,9.172563,STAR
10.151598,10.587677,6.3155146,GALAXY
2.9165435,2.0757778,1.601666,GALAXY
1.5902038,8.662511,8.893234,STAR
8.412269,9.487362,0.60188776,GALAXY
1.414653,2.5842454,4.3764753,STAR
5.060437,-1.2453492,1.5705596,GALAXY
4.365241,0.5435358,11.530265,STAR
0.25496298,5.267565,0.9155469,GALAXY
3.825326,3.9659748,2.6669059,STAR
12.106391,6.6898093,2.6393201,STAR
6.5476117,9.619549,1.7322955,GALAXY
3.137695,12.448635,6.6715183,QSO
1.2424495,4.978374,5.0467744,GALAXY
8.517803,1.6137727,5.1429152,QSO
4.1982555,-0.789925,1.6772152,STAR
7.3504376,7.843142,1.3882024,GALAXY
10.22868,4.396608,5.8078027,GALAXY
2.417084,6.5885077,-2.8751917,GALAXY
2.1453307,-3.2765183,3.6496048,GALAXY
1.022826,2.000471,4.929405,GALAXY
3.1636283,5.717172,2.782283,GALAXY
4.943213,-2.2464356,2.1580312,GALAXY
-0.19241354,4.3203998,3.0425997,GALAXY
4.9526844,7.7511396,9.433594,STAR
5.142565,8.676473,4.75361,GALAXY
1.8246155,-0.5599942,7.285397,STAR
2.3276794,10.118684,6.37433,STAR
7.863908,3.668476,8.27121,QSO
8.10843,10.253002,4.9716363,GALAXY
0.48471865,4.830907,1.32904,GALAXY
4.8256965,13.042558,3.6805794,QSO
4.031284,3.7741895,3.9970894,QSO
3.3930235,3.76042,0.89085406,GALAXY
2.068068,-3.076496,6.6240764,GALAXY
7.2838383,12.243306,10.385807,GALAXY
6.8426867,2.2520068,9.878236,GALAXY
1.9466908,3.1497319,8.947367,GALAXY
6.667587,4.7999763,6.8648505,GALAXY
10.721059,9.548234,5.1429605,GALAXY
9.427952,11.623231,9.209686,GALAXY
8.344975,4.18442,9.760688,GALAXY
6.1184864,5.6763535,8.2536745,QSO
-0.30834922,4.288256,3.6171472,QSO
3.3743074,5.032784,6.009187,QSO
4.975735,3.8261325,-0.12314488,STAR
3.9334474,0.052562047,3.1664505,GALAXY
7.7204156,1.4360399,7.207681,QSO
0.008327321,0.25972518,4.8225546,STAR
4.1561394,-0.92676157,7.745005,GALAXY
7.308571,8.290987,0.8937922,GALAXY
-0.17818113,0.9970421,2.9100416,GALAXY
3.7363198,3.2388234,4.436322,STAR
3.5038245,4.40354,3.9363286,STAR
3.698851,-0.071666874,9.02197,STAR
0.0389418,3.473775,2.9687119,GALAXY
0.45225993,5.570762,-1.3187308,STAR
6.150124,1.8761208,10.1817465,GALAXY
3.7337573,6.196011,-3.0200176,GALAXY
3.5302365,-0.85286313,7.550082,STAR
7.7140346,6.683652,9.9897175,STAR
2.4149463,-3.043636,2.8355496,GALAXY
